"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.8396094	0.6604305	0.5053606	0.1189134	0.0352375	0.0443375	0.0361835	0.5269756	0.2511990	0.7486017
0.6872653	0.6448971	0.3635250	0.1758945	0.0493050	0.0866095	0.0266112	0.1016911	0.2784697	0.3131841
0.5924297	0.7063973	0.2193299	0.1281061	0.0996286	0.0522393	0.1153577	0.0588285	0.5220974	0.2349447
0.5410159	0.6288132	0.1171204	0.2914947	0.0625770	0.0463337	0.4009129	0.0171637	0.5882246	0.2459202
0.3164594	0.4953162	0.0936637	0.4117774	0.1890896	0.0680516	0.5365764	0.0239576	0.7705534	0.2397455
0.1988700	0.4587908	0.0943112	0.5981852	0.4498015	0.3814168	0.7968850	0.0142807	0.7633775	0.2147630
0.2226087	0.3071169	0.0458077	0.6211780	0.6323616	0.5292485	0.6886153	0.0133793	0.7473196	0.2469607
0.1948528	0.2800397	0.0569693	0.6004420	0.6055373	0.6795996	0.7448470	0.0117709	0.7985521	0.2302935
0.2413553	0.2789238	0.0574876	0.5449998	0.7263455	0.6708697	0.6873782	0.0009981	0.6638145	0.2253598
0.1977449	0.2447755	0.1042191	0.6025479	0.6684394	0.7234814	0.7660633	0.0056397	0.6207817	0.1719857
0.2140426	0.2769031	0.0878167	0.6781890	0.5967365	0.7165491	0.7017519	0.0033398	0.7627135	0.2000984
0.1996716	0.2932163	0.0361746	0.6804290	0.7520348	0.8852768	0.5932153	0.0893901	0.6837912	0.5603454
0.1891730	0.3291841	0.2251707	0.7294570	0.5873800	0.7070213	0.4290015	0.1202935	0.5984669	0.6985843
0.3212475	0.4156824	0.3672087	0.4041897	0.6191670	0.7768229	0.3300365	0.1408433	0.6376225	0.6471660
0.2542126	0.4671011	0.3971839	0.2046749	0.3393695	0.7410750	0.1918147	0.1502125	0.7856574	0.7772003
0.1707161	0.2963102	0.4087823	0.1671861	0.1568314	0.7216973	0.1279906	0.1608155	0.7803932	0.6899571
0.1885359	0.5110976	0.4256034	0.1737534	0.1246303	0.6099163	0.1542833	0.1585673	0.7076104	0.7060129
0.2594151	0.4818306	0.5145090	0.1148685	0.1330679	0.5059167	0.2218021	0.1965922	0.5376400	0.7674529
0.2941869	0.5648216	0.4193384	0.1933904	0.0606811	0.2910781	0.1810012	0.2090872	0.6221331	0.6842898
0.1752288	0.4230195	0.6278638	0.1460546	0.0674464	0.1516438	0.1044955	0.2820552	0.5273870	0.8021232
0.2368829	0.6574972	0.4144883	0.1599815	0.0431344	0.0832606	0.0591512	0.4055863	0.4766660	0.7881250
