"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.8196661	0.6258468	0.4275544	0.1343295	0.0395386	0.0858597	0.0153988	0.5474253	0.1421867	0.6622512
0.6752079	0.7594893	0.4780051	0.1155197	0.0775133	0.0621555	0.0336766	0.1977621	0.2564550	0.4557365
0.6544522	0.7675325	0.3093830	0.1820262	0.0755614	0.0662428	0.0672242	0.1433478	0.3673358	0.4125779
0.5412243	0.6165999	0.2363249	0.1605546	0.0205437	0.0518276	0.1175679	0.1822476	0.4439044	0.4008946
0.3912231	0.6013822	0.1306104	0.3983670	0.0531220	0.0374083	0.1605869	0.1311502	0.7338921	0.3510230
0.3439568	0.5281768	0.1474179	0.4793229	0.0419726	0.0916513	0.1407663	0.2009994	0.7352499	0.3700809
0.2632589	0.5180844	0.1371519	0.5620525	0.0421850	0.0671023	0.1169966	0.2034098	0.5707911	0.4040230
0.3250795	0.4493017	0.0957265	0.6096146	0.0644122	0.0887178	0.0604705	0.2194704	0.6843876	0.3550494
0.1978778	0.4476881	0.1143196	0.6056962	0.0705810	0.0514207	0.1279238	0.1543746	0.6555086	0.3978170
0.2119435	0.2971015	0.1237322	0.5448305	0.0469943	0.0579252	0.1567792	0.1500386	0.6268837	0.3529273
0.1954720	0.5425136	0.1428108	0.6195589	0.0361319	0.0497217	0.1259602	0.1847967	0.6014439	0.4163339
0.2867070	0.3552149	0.1570802	0.5198478	0.0397012	0.0533049	0.0931174	0.5551999	0.6391620	0.7608275
0.2832238	0.4564208	0.2875349	0.3389959	0.0497244	0.0339943	0.0219816	0.5944062	0.3910088	0.6812163
0.3752776	0.4965184	0.3812652	0.2261950	0.0506497	0.0509604	0.0180718	0.6009838	0.3289784	0.6588147
0.5271666	0.6396812	0.4141317	0.1399552	0.0267939	0.0700949	0.0154161	0.5330090	0.2860424	0.8618668
0.6535310	0.5377897	0.4360782	0.2000445	0.0220214	0.0349406	0.0313183	0.7536030	0.2646750	0.6828334
0.6074678	0.5711786	0.3980025	0.1879024	0.0549372	0.0273886	0.0054047	0.5413572	0.3763676	0.6702343
0.5815066	0.6249487	0.4771217	0.1865360	0.0629813	0.0436681	0.0240279	0.6049338	0.2975716	0.7865679
0.5068927	0.7673761	0.5780678	0.1568298	0.0734124	0.1178872	0.0054490	0.6298151	0.2148692	0.7057800
0.5921736	0.6562528	0.4605847	0.1879043	0.0350396	0.0772433	0.0180486	0.5304989	0.4045765	0.7562438
0.6208871	0.5848911	0.4098903	0.1255350	0.0429783	0.0440719	0.0404184	0.6506816	0.3942687	0.8640166
